Timestamp,Heart rate
2021-02-01 22:03:00,69.0
2021-02-01 22:07:00,71.0
2021-02-01 22:08:00,70.0
2021-02-01 22:12:00,69.0
2021-02-01 22:13:00,71.0
2021-02-01 22:15:00,69.0
2021-02-01 22:16:00,68.0
2021-02-01 22:17:00,70.0
2021-02-01 22:18:00,69.0
2021-02-01 22:19:00,72.0
2021-02-01 22:20:00,84.0
2021-02-01 22:22:00,81.0
2021-02-01 22:23:00,89.0
2021-02-01 22:24:00,86.0
2021-02-01 22:25:00,85.0
2021-02-01 22:26:00,72.0
2021-02-01 22:27:00,86.0
2021-02-01 22:28:00,91.0
2021-02-01 22:29:00,82.0
2021-02-01 22:30:00,89.0
2021-02-01 22:31:00,87.0
2021-02-01 22:32:00,89.0
2021-02-01 22:33:00,88.0
2021-02-01 22:35:00,77.0
2021-02-01 22:36:00,87.0
2021-02-01 22:37:00,80.0
2021-02-01 22:38:00,83.0
2021-02-01 22:39:00,82.0
2021-02-01 22:40:00,77.0
2021-02-01 22:41:00,74.0
2021-02-01 22:42:00,86.0
2021-02-01 22:43:00,93.0
2021-02-01 22:44:00,91.0
2021-02-01 22:45:00,84.0
2021-02-01 22:46:00,92.0
2021-02-01 22:48:00,93.0
2021-02-01 22:49:00,94.0
2021-02-01 22:50:00,96.0
2021-02-01 22:51:00,98.0
2021-02-01 22:52:00,96.0
2021-02-01 22:53:00,98.0
2021-02-01 22:54:00,99.0
2021-02-01 22:55:00,95.0
2021-02-01 22:56:00,94.0
2021-02-01 22:57:00,96.0
2021-02-01 22:58:00,97.0
2021-02-01 22:59:00,95.0
2021-02-01 23:00:00,96.0
2021-02-01 23:01:00,94.0
2021-02-01 23:02:00,89.0
2021-02-01 23:03:00,86.0
2021-02-01 23:04:00,92.0
2021-02-01 23:05:00,83.0
2021-02-01 23:07:00,82.0
2021-02-01 23:08:00,79.0
2021-02-01 23:09:00,93.0
2021-02-01 23:10:00,88.0
2021-02-01 23:11:00,98.0
2021-02-01 23:12:00,92.0
2021-02-01 23:13:00,97.0
2021-02-01 23:14:00,73.0
2021-02-01 23:15:00,71.0
2021-02-01 23:16:00,63.0
2021-02-01 23:17:00,58.0
2021-02-01 23:18:00,70.0
2021-02-01 23:19:00,68.0
2021-02-01 23:20:00,63.0
2021-02-01 23:21:00,59.0
2021-02-01 23:22:00,72.0
2021-02-01 23:23:00,67.0
2021-02-01 23:24:00,61.0
2021-02-01 23:25:00,73.0
2021-02-01 23:26:00,61.0
2021-02-01 23:27:00,57.0
2021-02-01 23:29:00,67.0
2021-02-01 23:30:00,65.0
2021-02-01 23:31:00,61.0
2021-02-01 23:32:00,70.0
2021-02-01 23:33:00,65.0
2021-02-01 23:34:00,59.0
2021-02-01 23:35:00,57.0
2021-02-01 23:36:00,55.0
2021-02-01 23:37:00,56.0
2021-02-01 23:38:00,57.0
2021-02-01 23:39:00,63.0
2021-02-01 23:40:00,73.0
2021-02-01 23:41:00,62.0
2021-02-01 23:42:00,58.0
2021-02-01 23:43:00,57.0
2021-02-01 23:44:00,72.0
2021-02-01 23:45:00,74.0
2021-02-01 23:46:00,68.0
2021-02-01 23:47:00,61.0
2021-02-01 23:48:00,68.0
2021-02-01 23:49:00,78.0
2021-02-01 23:50:00,73.0
2021-02-01 23:51:00,64.0
2021-02-01 23:52:00,59.0
2021-02-01 23:53:00,58.0
2021-02-01 23:57:00,57.0
2021-02-01 23:58:00,58.0
2021-02-01 23:59:00,62.0
2021-02-02 00:00:00,64.0
2021-02-02 00:01:00,66.0
2021-02-02 00:02:00,78.0
2021-02-02 00:03:00,70.0
2021-02-02 00:04:00,65.0
2021-02-02 00:06:00,64.0
2021-02-02 00:22:00,64.0
2021-02-02 00:23:00,62.0
2021-02-02 00:24:00,61.0
2021-02-02 00:40:00,61.0
2021-02-02 00:54:00,60.0
2021-02-02 00:55:00,61.0
2021-02-02 01:11:00,61.0
2021-02-02 01:27:00,61.0
2021-02-02 01:37:00,60.0
2021-02-02 01:38:00,61.0
2021-02-02 01:52:00,60.0
2021-02-02 01:54:00,61.0
2021-02-02 02:09:00,60.0
2021-02-02 02:11:00,61.0
2021-02-02 02:25:00,70.0
2021-02-02 02:26:00,73.0
2021-02-02 02:28:00,64.0
2021-02-02 02:29:00,62.0
2021-02-02 02:30:00,61.0
2021-02-02 02:36:00,60.0
2021-02-02 02:37:00,59.0
2021-02-02 02:38:00,58.0
2021-02-02 02:48:00,59.0
2021-02-02 02:49:00,58.0
2021-02-02 03:05:00,58.0
2021-02-02 03:21:00,58.0
2021-02-02 03:35:00,57.0
2021-02-02 03:36:00,56.0
2021-02-02 03:37:00,55.0
2021-02-02 03:53:00,55.0
2021-02-02 04:06:00,62.0
2021-02-02 04:07:00,70.0
2021-02-02 04:08:00,61.0
2021-02-02 04:09:00,57.0
2021-02-02 04:10:00,56.0
2021-02-02 04:26:00,56.0
2021-02-02 04:42:00,56.0
2021-02-02 04:45:00,71.0
2021-02-02 04:46:00,63.0
2021-02-02 04:47:00,58.0
2021-02-02 04:48:00,56.0
2021-02-02 05:03:00,69.0
2021-02-02 05:04:00,67.0
2021-02-02 05:05:00,59.0
2021-02-02 05:06:00,57.0
2021-02-02 05:07:00,56.0
2021-02-02 05:23:00,56.0
2021-02-02 05:36:00,55.0
2021-02-02 05:39:00,56.0
2021-02-02 05:55:00,56.0
2021-02-02 06:09:00,55.0
2021-02-02 06:11:00,56.0
2021-02-02 06:27:00,55.0
2021-02-02 06:28:00,56.0
2021-02-02 06:30:00,55.0
2021-02-02 06:32:00,56.0
2021-02-02 06:46:00,55.0
2021-02-02 06:47:00,56.0
2021-02-02 06:49:00,55.0
2021-02-02 06:51:00,61.0
2021-02-02 06:52:00,70.0
2021-02-02 06:53:00,61.0
2021-02-02 06:54:00,57.0
2021-02-02 06:55:00,56.0
2021-02-02 07:04:00,55.0
2021-02-02 07:05:00,56.0
2021-02-02 07:21:00,56.0
2021-02-02 07:24:00,67.0
2021-02-02 07:25:00,63.0
2021-02-02 07:26:00,58.0
2021-02-02 07:27:00,56.0
2021-02-02 07:32:00,64.0
2021-02-02 07:33:00,74.0
2021-02-02 07:34:00,65.0
2021-02-02 07:35:00,58.0
2021-02-02 07:36:00,57.0
2021-02-02 07:37:00,56.0
2021-02-02 07:40:00,55.0
2021-02-02 07:42:00,56.0
2021-02-02 07:45:00,55.0
2021-02-02 07:47:00,56.0
2021-02-02 07:52:00,55.0
2021-02-02 07:53:00,56.0
2021-02-02 08:02:00,59.0
2021-02-02 08:03:00,75.0
2021-02-02 08:04:00,63.0
2021-02-02 08:05:00,58.0
2021-02-02 08:06:00,57.0
2021-02-02 08:07:00,56.0
2021-02-02 08:09:00,57.0
2021-02-02 08:10:00,56.0
2021-02-02 08:17:00,57.0
2021-02-02 08:18:00,56.0
2021-02-02 08:26:00,57.0
2021-02-02 08:27:00,56.0
2021-02-02 08:30:00,57.0
2021-02-02 08:31:00,56.0
2021-02-02 08:32:00,64.0
2021-02-02 08:33:00,71.0
2021-02-02 08:34:00,61.0
2021-02-02 08:35:00,57.0
2021-02-02 08:36:00,60.0
2021-02-02 08:37:00,66.0
2021-02-02 08:38:00,59.0
2021-02-02 08:39:00,58.0
2021-02-02 08:40:00,55.0
2021-02-02 08:41:00,56.0
2021-02-02 08:42:00,55.0
2021-02-02 08:43:00,56.0
2021-02-02 08:45:00,62.0
2021-02-02 08:46:00,64.0
2021-02-02 08:47:00,61.0
2021-02-02 08:48:00,60.0
2021-02-02 08:49:00,62.0
2021-02-02 08:51:00,60.0
2021-02-02 08:52:00,58.0
2021-02-02 08:54:00,59.0
2021-02-02 08:55:00,60.0
2021-02-02 08:56:00,59.0
2021-02-02 08:58:00,60.0
2021-02-02 08:59:00,57.0
2021-02-02 09:01:00,62.0
2021-02-02 09:02:00,69.0
2021-02-02 09:03:00,64.0
2021-02-02 09:04:00,62.0
2021-02-02 09:05:00,61.0
2021-02-02 09:07:00,63.0
2021-02-02 09:08:00,60.0
2021-02-02 09:09:00,74.0
2021-02-02 09:10:00,79.0
2021-02-02 09:11:00,77.0
2021-02-02 09:12:00,76.0
2021-02-02 09:13:00,85.0
2021-02-02 09:14:00,92.0
2021-02-02 09:16:00,88.0
2021-02-02 09:17:00,85.0
2021-02-02 09:18:00,91.0
2021-02-02 09:19:00,83.0
2021-02-02 09:20:00,81.0
2021-02-02 09:21:00,90.0
2021-02-02 09:22:00,94.0
2021-02-02 09:23:00,104.0
2021-02-02 09:24:00,111.0
2021-02-02 09:25:00,94.0
2021-02-02 09:26:00,79.0
2021-02-02 09:27:00,73.0
2021-02-02 09:28:00,71.0
2021-02-02 09:30:00,79.0
2021-02-02 09:31:00,91.0
2021-02-02 09:32:00,90.0
2021-02-02 09:34:00,89.0
2021-02-02 09:37:00,88.0
2021-02-02 09:38:00,85.0
2021-02-02 09:39:00,89.0
2021-02-02 09:40:00,98.0
2021-02-02 09:41:00,87.0
2021-02-02 09:42:00,84.0
2021-02-02 09:43:00,80.0
2021-02-02 09:44:00,78.0
2021-02-02 09:45:00,82.0
2021-02-02 09:46:00,74.0
2021-02-02 09:47:00,76.0
2021-02-02 09:48:00,80.0
2021-02-02 09:49:00,73.0
2021-02-02 09:50:00,70.0
2021-02-02 09:51:00,81.0
2021-02-02 09:52:00,78.0
2021-02-02 09:53:00,70.0
2021-02-02 09:54:00,69.0
2021-02-02 09:55:00,66.0
2021-02-02 09:56:00,74.0
2021-02-02 09:57:00,81.0
2021-02-02 09:58:00,77.0
2021-02-02 09:59:00,84.0
2021-02-02 10:00:00,80.0
2021-02-02 10:01:00,74.0
2021-02-02 10:03:00,69.0
2021-02-02 10:04:00,71.0
2021-02-02 10:05:00,75.0
2021-02-02 10:06:00,68.0
2021-02-02 10:07:00,65.0
2021-02-02 10:08:00,66.0
2021-02-02 10:09:00,67.0
2021-02-02 10:10:00,78.0
2021-02-02 10:11:00,77.0
2021-02-02 10:12:00,65.0
2021-02-02 10:13:00,62.0
2021-02-02 10:15:00,70.0
2021-02-02 10:16:00,86.0
2021-02-02 10:17:00,80.0
2021-02-02 10:18:00,70.0
2021-02-02 10:19:00,80.0
2021-02-02 10:20:00,83.0
2021-02-02 10:21:00,81.0
2021-02-02 10:22:00,77.0
2021-02-02 10:23:00,67.0
2021-02-02 10:24:00,65.0
2021-02-02 10:25:00,79.0
2021-02-02 10:26:00,74.0
2021-02-02 10:27:00,66.0
2021-02-02 10:29:00,64.0
2021-02-02 10:30:00,69.0
2021-02-02 10:31:00,76.0
2021-02-02 10:32:00,68.0
2021-02-02 10:33:00,67.0
2021-02-02 10:34:00,68.0
2021-02-02 10:35:00,65.0
2021-02-02 10:36:00,62.0
2021-02-02 10:37:00,61.0
2021-02-02 10:43:00,62.0
2021-02-02 10:44:00,61.0
2021-02-02 10:45:00,62.0
2021-02-02 10:46:00,60.0
2021-02-02 10:48:00,61.0
2021-02-02 10:49:00,62.0
2021-02-02 10:50:00,61.0
2021-02-02 10:52:00,62.0
2021-02-02 10:53:00,61.0
